Honorific,MP Name,District,Gender,Ethnicity,Party
Mr,Abdul Muhaimin Abdul Malik,Sengkang GRC,M,Malay,WP
Mr,Alex Yam Ziming,Marsiling-Yew Tee GRC,M,Chinese,PAP
Mr,Alex Yeo,Potong Pasir,M,Chinese,PAP
Mr,Alvin Tan,Tanjong Pagar GRC,M,Chinese,PAP
Mr,Ang Wei Neng,West Coast-Jurong West GRC,M,Chinese,PAP
Mr,Azhar Othman,Nominated Member of Parliament,M,Malay,
Mr,Baey Yam Keng,Tampines GRC,M,Chinese,PAP
Mr,Cai Yinzhou,Bishan-Toa Payoh GRC,M,Chinese,PAP
Ms,Cassandra Lee,West Coast-Jurong West GRC,F,Chinese,PAP
Mr,Chan Chun Sing,Tanjong Pagar GRC,M,Chinese,PAP
Dr,Charlene Chen,Tampines GRC,F,Chinese,PAP
Mr,Chee Hong Tat,Bishan-Toa Payoh GRC,M,Chinese,PAP
Dr,Choo Pei Ling,Chua Chu Kang GRC,F,Chinese,PAP
Mr,Christopher de Souza,Holland-Bukit Timah GRC,M,Other,PAP
Mr,Chua Kheng Wee Louis,Sengkang GRC,M,Chinese,WP
Mr,Darryl David,Ang Mo Kio GRC,M,Indian,PAP
Mr,David Hoe,Jurong East-Bukit Batok GRC,M,Chinese,PAP
Mr,David Neo,Tampines GRC,M,Chinese,PAP
Ms,Denise Phua Lay Peng,Jalan Besar GRC,F,Chinese,PAP
Mr,Dennis Tan Lip Fong,Hougang,M,Chinese,WP
Mr,Desmond Choo,Tampines Changkat,M,Chinese,PAP
Mr,Desmond Lee,West Coast-Jurong West GRC,M,Chinese,PAP
Mr,Desmond Tan,Pasir Ris-Changi GRC,M,Chinese,PAP
Ms,Diana Pang Li Yen,Marine Parade-Braddell Heights GRC,F,Chinese,PAP
Mr,Dinesh Vasu Dash,East Coast GRC,M,Indian,PAP
Mr,Edward Chia Bing Hui,Holland-Bukit Timah GRC,M,Chinese,PAP
Mr,Edwin Tong Chun Fai,East Coast GRC,M,Chinese,PAP
Ms,Eileen Chong Pei Shan,Non-Constituency Member of Parliament,F,Chinese,WP
Ms,Elysa Chen,Bishan-Toa Payoh GRC,F,Chinese,PAP
Mr,Eric Chua,Queenstown,M,Chinese,PAP
Mr,Fadli Fawzi,Aljunied GRC,M,Malay,WP
Mr,Foo Cexiang,Tanjong Pagar GRC,M,Chinese,PAP
Mr,Gabriel Lam,Sembawang GRC,M,Chinese,PAP
Mr,Gan Kim Yong,Punggol GRC,M,Chinese,PAP
Ms,Gan Siow Huang,Marymount,F,Chinese,PAP
Mr,Gerald Giam Yean Song,Aljunied GRC,M,Chinese,WP
Ms,Gho Sze Kee,Mountbatten,F,Chinese,PAP
Ms,Goh Hanyan,Nee Soon GRC,F,Chinese,PAP
Mr,Goh Pei Ming,Marine Parade-Braddell Heights GRC,M,Chinese,PAP
Ms,Grace Fu Hai Yien,Jurong East-Bukit Batok GRC,F,Chinese,PAP
Dr,Hamid Razak,West Coast-Jurong West GRC,M,Indian,PAP
Ms,Hany Soh,Marsiling-Yew Tee GRC,F,Chinese,PAP
Dr,Haresh Singaraju,Nominated Member of Parliament,M,Indian,
Ms,Hazlina Abdul Halim,East Coast GRC,F,Malay,PAP
Ms,He Ting Ru,Sengkang GRC,F,Chinese,WP
Ms,Indranee Rajah,Pasir Ris-Changi GRC,F,Indian,PAP
Mr,Jackson Lam,Nee Soon GRC,M,Chinese,PAP
Assoc Prof,Jamus Jerome Lim,Sengkang GRC,M,Chinese,WP
Dr,Janil Puthucheary,Punggol GRC,M,Indian,PAP
Ms,Jasmin Lau,Ang Mo Kio GRC,F,Chinese,PAP
Mr,Jeffrey Siow,Chua Chu Kang GRC,M,Chinese,PAP
Ms,Jessica Tan Soon Neo,East Coast GRC,F,Chinese,PAP
Ms,Joan Pereira,Tanjong Pagar GRC,F,Other,PAP
Mrs,Josephine Teo,Jalan Besar GRC,F,Chinese,PAP
Mr,K Shanmugam,Nee Soon GRC,M,Indian,PAP
Assoc Prof,Kenneth Goh,Nominated Member of Parliament,M,Chinese,
Prof,Kenneth Poon,Nominated Member of Parliament,M,Chinese,
Mr,Kenneth Tiong,Aljunied GRC,M,Chinese,WP
Dr,Koh Poh Koon,Tampines GRC,M,Chinese,PAP
Ms,Kuah Boon Theng,Nominated Member of Parliament,F,Chinese,
Mr,Kwek Hian Chuan Henry,Kebun Baru,M,Chinese,PAP
Mr,Lawrence Wong,Marsiling-Yew Tee GRC,M,Chinese,PAP
Mr,Lee Hong Chuang BBM,Jurong East-Bukit Batok GRC,M,Chinese,PAP
Mr,Lee Hsien Loong,Ang Mo Kio GRC,M,Chinese,PAP
Ms,Lee Hui Ying,Nee Soon GRC,F,Chinese,PAP
Mr,Liang Eng Hwa,Bukit Panjang,M,Chinese,PAP
Mr,Low Wu Yang Andre,Non-Constituency Member of Parliament,M,Chinese,WP
Ms,Low Yen Ling,Bukit Gombak,F,Chinese,PAP
Ms,Mariam Jaafar,Sembawang GRC,F,Malay,PAP
Mr,Mark Lee,Nominated Member of Parliament,M,Chinese,
Mr,Masagos Zulkifli Bin Masagos Mohamad,Tampines GRC,M,Malay,PAP
Mr,Melvin Yong Yik Chye,Radin Mas,M,Chinese,PAP
Mr,Murali Pillai,Jurong East-Bukit Batok GRC,M,Indian,PAP
Ms,Nadia Ahmad Samdin,Ang Mo Kio GRC,F,Malay,PAP
Dr,Neo Kok Beng,Nominated Member of Parliament,M,Chinese,
Mr,Ng Chee Meng,Jalan Kayu,M,Chinese,PAP
Mr,Ng Shi Xuan,Sembawang GRC,M,Chinese,PAP
Mr,Ong Ye Kung,Sembawang GRC,M,Chinese,PAP
Mr,Patrick Tay Teck Guan,Pioneer,M,Chinese,PAP
Ms,Poh Li San,Sembawang West,F,Chinese,PAP
Mr,Pritam Singh,Aljunied GRC,M,Indian,WP
Miss,Rachel Ong,Tanjong Pagar GRC,F,Chinese,PAP
Ms,Rahayu Mahzam,Jurong East-Bukit Batok GRC,F,Malay,PAP
Mr,Saktiandi Supaat,Bishan-Toa Payoh GRC,M,Malay,PAP
Mr,Sanjeev Kumar Tiwari,Nominated Member of Parliament,M,Indian,
Mr,Seah Kian Peng,Marine Parade-Braddell Heights GRC,M,Chinese,PAP
Mr,Sharael Taha,Pasir Ris-Changi GRC,M,Malay,PAP
Mr,Shawn Huang Wei Zhong,West Coast-Jurong West GRC,M,Chinese,PAP
Mr,Shawn Loh,Jalan Besar GRC,M,Chinese,PAP
Ms,Sim Ann,Holland-Bukit Timah GRC,F,Chinese,PAP
Ms,Sun Xueling,Punggol GRC,F,Chinese,PAP
Dr,Syed Harun Alhabsyi,Nee Soon GRC,M,Malay,PAP
Ms,Sylvia Lim,Aljunied GRC,F,Chinese,WP
Mr,Tan Kiat How,East Coast GRC,M,Chinese,PAP
Dr,Tan See Leng,Chua Chu Kang GRC,M,Chinese,PAP
Assoc Prof,Terence Ho,Nominated Member of Parliament,M,Chinese,
Ms,Tin Pei Ling,Marine Parade-Braddell Heights GRC,F,Chinese,PAP
Ms,Valerie Lee,Pasir Ris-Changi GRC,F,Chinese,PAP
Mr,Victor Lye,Ang Mo Kio GRC,M,Chinese,PAP
Mr,Vikram Nair,Sembawang GRC,M,Indian,PAP
Dr,Vivian Balakrishnan,Holland-Bukit Timah GRC,M,indian,PAP
Dr,Wan Rizal,Jalan Besar GRC,M,Malay,PAP
Mr,Xie Yao Quan,Jurong Central,M,Chinese,PAP
Ms,Yeo Wan Ling,Punggol GRC,F,Chinese,PAP
Mr,Yip Hon Weng,Yio Chu Kang,M,Chinese,PAP
Mr,Zaqy Mohamad,Marsiling-Yew Tee GRC,M,Malay,PAP
Mr,Zhulkarnain Abdul Rahim,Chua Chu Kang GRC,M,Malay,PAP
